Time,R1C1,R2C1,R3C1,R4C1,R5C1,R6C1,R1C2,R2C2,R3C2,R4C2,R5C2,R6C2,R1C3,R2C3,R3C3,R4C3,R5C3,R6C3,R1C4,R2C4,R3C4,R4C4,R5C4,R6C4,R1C5,R2C5,R3C5,R4C5,R5C5,R6C5,R1C6,R2C6,R3C6,R4C6,R5C6,R6C6
2024-07-26 04:25:05,3851,4039,3790,3999,3987,3735,4045,3811,4011,3999,3983,3743,3831,4023,3787,3983,3743,3967,3967,4019,4013,3999,3743,3967,4031,3807,3999,3983,3743,3966,4023,3807,3787,3990,3743,3967
2024-07-26 12:22:56,3851,4047,3795,4015,3999,3743,4053,3825,4015,3999,3995,3747,3870,4031,3791,3999,3743,3985,4019,4031,4017,3999,3751,3967,4037,3807,4015,3995,3743,3975,4043,3987,3791,3991,3741,3975
2024-07-26 20:20:25,3795,3987,3743,3951,3935,3695,3995,3767,3967,3951,3935,3691,3783,3975,3743,3939,3697,3923,3775,3967,3952,3935,3695,3923,3979,3755,3959,3935,3695,3919,3974,3759,3731,3934,3687,3915
