Time,R1C1,R2C1,R3C1,R4C1,R5C1,R6C1,R1C2,R2C2,R3C2,R4C2,R5C2,R6C2,R1C3,R2C3,R3C3,R4C3,R5C3,R6C3,R1C4,R2C4,R3C4,R4C4,R5C4,R6C4,R1C5,R2C5,R3C5,R4C5,R5C5,R6C5,R1C6,R2C6,R3C6,R4C6,R5C6,R6C6
2024-05-05 01:05:14,2875,3131,2735,3109,3103,2667,3190,2789,3109,3109,3101,2683,2878,3127,2737,3103,2679,3099,2877,3127,3107,3107,2678,3095,3187,2787,3107,3107,2675,3099,3186,2795,3071,3103,2675,3095
2024-05-05 09:03:04,2875,3125,2727,3103,3095,2667,3187,2783,3103,3103,3095,2679,2871,3123,2735,3103,2675,3095,3071,3121,3101,3103,2673,3093,3184,2783,3101,3103,2672,3095,3179,2829,2749,3103,2673,3095
2024-05-05 17:01:05,2895,3147,2750,3123,3119,2687,3207,2802,3127,3127,3119,2701,2895,3143,2753,3123,2693,3117,2895,3143,3123,3123,2691,3115,3199,2800,3123,3123,2693,3119,3199,2807,2787,3123,2695,3118
