Time,R1C1,R2C1,R3C1,R4C1,R5C1,R6C1,R1C2,R2C2,R3C2,R4C2,R5C2,R6C2,R1C3,R2C3,R3C3,R4C3,R5C3,R6C3,R1C4,R2C4,R3C4,R4C4,R5C4,R6C4,R1C5,R2C5,R3C5,R4C5,R5C5,R6C5,R1C6,R2C6,R3C6,R4C6,R5C6,R6C6
2024-06-23 00:06:32,4095,4095,4035,4095,4095,3967,4095,4071,4095,4095,4095,3983,4095,4095,4035,4095,3983,4095,4095,4095,4095,4095,3983,4095,4095,4063,4095,4095,3983,4095,4095,4095,4031,4095,3983,4095
2024-06-23 08:04:23,4095,4095,4043,4095,4095,3983,4095,4079,4095,4095,4095,3983,4055,4095,4043,4095,3991,4095,4095,4095,4095,4095,3983,4095,4095,4071,4095,4095,3983,4095,4095,4095,4043,4095,3989,4095
2024-06-23 16:02:13,4095,4095,4055,4095,4095,3991,4095,4087,4095,4095,4095,3995,4095,4095,4059,4095,4007,4095,4095,4095,4095,4095,4003,4095,4095,4083,4095,4095,3999,4095,4095,4095,4075,4095,4007,4095
