Time,R1C1,R2C1,R3C1,R4C1,R5C1,R6C1,R1C2,R2C2,R3C2,R4C2,R5C2,R6C2,R1C3,R2C3,R3C3,R4C3,R5C3,R6C3,R1C4,R2C4,R3C4,R4C4,R5C4,R6C4,R1C5,R2C5,R3C5,R4C5,R5C5,R6C5,R1C6,R2C6,R3C6,R4C6,R5C6,R6C6
2024-07-23 04:45:54,3963,4095,3919,4095,4095,3863,4095,3935,4095,4095,4095,3855,4095,4095,3907,4095,3871,4095,4095,4095,4095,4095,3867,4079,4095,3927,4095,4095,3857,4083,4095,4095,3899,4095,3857,4083
2024-07-23 12:43:42,3979,4095,3935,4095,4095,3871,4095,3954,4095,4095,4095,3887,3967,4095,3935,4095,3887,4095,4095,4095,4095,4095,3887,4095,4095,3943,4095,4095,3878,4095,4095,3953,3967,4095,3879,4095
2024-07-23 20:41:07,3911,4087,3863,4063,4049,3807,4095,3879,4079,4055,4047,3807,4063,4087,3847,4055,3815,4039,4075,4083,4063,4053,3807,4031,4095,3875,4063,4047,3813,4031,4087,3863,3857,4051,3807,4031
