Time,R1C1,R2C1,R3C1,R4C1,R5C1,R6C1,R1C2,R2C2,R3C2,R4C2,R5C2,R6C2,R1C3,R2C3,R3C3,R4C3,R5C3,R6C3,R1C4,R2C4,R3C4,R4C4,R5C4,R6C4,R1C5,R2C5,R3C5,R4C5,R5C5,R6C5,R1C6,R2C6,R3C6,R4C6,R5C6,R6C6
2024-05-03 00:06:45,3911,4095,3839,4095,4095,3759,4095,3887,4095,3791,4095,4095,3955,4095,3839,4095,3761,4095,4095,4095,4095,4095,3760,4095,4095,3878,4095,4095,3759,4095,4095,3879,3847,4095,3759,4095
2024-05-03 01:06:50,3899,4095,3839,4095,4095,3759,4095,3887,4095,3795,4095,4095,3911,4095,3839,4095,3761,4095,3903,4095,4095,4095,3759,4095,4095,3883,4095,4095,3767,4095,4095,3887,4095,4095,3763,4095
2024-05-03 02:06:53,3911,4095,3839,4095,4095,3759,4095,3887,4095,3797,4095,4095,3903,4095,3839,4095,3763,4095,3903,4095,4095,4095,3761,4095,4095,3879,4095,4095,3763,4095,4095,3879,4095,4095,3767,4095
2024-05-03 03:07:00,3919,4095,3839,4095,4095,3759,4095,3887,4095,3799,4095,4095,3911,4095,3839,4095,3767,4095,3903,4095,4095,4095,3763,4095,4095,3887,4095,4095,3759,4095,4095,3887,4095,4095,3759,4095
2024-05-03 04:07:06,3919,4095,3839,4095,4095,3759,4095,3887,4095,3795,4095,4095,3903,4095,3831,4095,3763,4095,4095,4095,4095,4095,3767,4095,4095,3879,4095,4095,3763,4095,4095,3951,3919,4095,3759,4095
2024-05-03 05:07:12,3910,4095,3839,4095,4095,3759,4095,3887,4095,3799,4095,4095,3909,4095,3839,4095,3763,4095,3975,4095,4095,4095,3762,4095,4095,3885,4095,4095,3761,4095,4095,3887,3847,4095,3763,4095
2024-05-03 06:07:20,3919,4095,3839,4095,4095,3759,4095,3887,4095,3795,4095,4095,3903,4095,3839,4095,3767,4095,3883,4095,4095,4095,3763,4095,4095,3879,4095,4095,3761,4095,4095,3885,3857,4095,3763,4095
2024-05-03 07:07:28,3919,4095,3839,4095,4095,3759,4095,3887,4095,3795,4095,4095,4079,4095,3839,4095,3763,4095,4095,4095,4095,4095,3763,4095,4095,3883,4095,4095,3763,4095,4095,3883,4070,4095,3763,4095
2024-05-03 08:07:35,3911,4095,3839,4095,4095,3757,4095,3891,4095,3799,4095,4095,3903,4095,3839,4095,3763,4095,3903,4095,4095,4095,3763,4095,4095,3879,4095,4095,3767,4095,4095,3879,4095,4095,3761,4095
2024-05-03 09:07:37,3911,4095,3839,4095,4095,3759,4095,3887,4095,3791,4095,4095,3903,4095,3839,4095,3761,4095,4047,4095,4095,4095,3759,4095,4095,3879,4095,4095,3759,4095,4095,4023,3839,4095,3759,4095
2024-05-03 10:07:39,2871,3127,2727,3099,3091,2663,3183,2783,3103,2701,3091,3089,2871,3121,2735,3101,2673,3091,2903,3121,3099,3101,2672,3071,3183,2783,3103,3101,2672,3090,3178,2851,2747,3099,2669,3089
2024-05-03 11:07:41,2869,3119,2724,3095,3087,2663,3175,2781,3099,2698,3089,3087,2866,3107,2731,3097,2671,3071,2867,3119,3095,3095,2671,3071,3179,2779,3095,3093,2671,3090,3174,2781,3011,3095,2671,3071
2024-05-03 12:07:42,2864,3119,2719,3087,3071,2655,3175,2775,3095,2687,3071,3071,2863,3111,2726,3089,2667,3071,2863,3111,3089,3089,2667,3071,3167,2769,3091,3088,2663,3071,3171,2779,3071,3087,2663,3071
2024-05-03 13:07:43,2861,3115,2717,3088,3071,2655,3171,2769,3091,2687,3071,3071,2962,3111,2719,3088,2666,3071,3167,3103,3071,3088,2662,3071,3167,2766,3089,3071,2662,3071,3159,3071,2723,3087,2663,3071
2024-05-03 14:07:48,2859,3111,2715,3087,3071,2647,3167,2769,3087,2687,3071,3071,2843,3106,2726,3087,2659,3071,2855,3107,3087,3071,2660,3067,3167,2767,3071,3071,2659,3069,3166,2769,2875,3071,2659,3071
2024-05-03 15:07:55,2855,3109,2719,3087,3071,2651,3171,2768,3091,2687,3071,3071,3088,3103,2717,3087,2659,3071,3174,3107,3071,3071,2659,3067,3163,2765,3071,3071,2659,3071,3166,2769,2769,3071,2662,3069
