Time,R1C1,R2C1,R3C1,R4C1,R5C1,R6C1,R1C2,R2C2,R3C2,R4C2,R5C2,R6C2,R1C3,R2C3,R3C3,R4C3,R5C3,R6C3,R1C4,R2C4,R3C4,R4C4,R5C4,R6C4,R1C5,R2C5,R3C5,R4C5,R5C5,R6C5,R1C6,R2C6,R3C6,R4C6,R5C6,R6C6
2024-07-25 04:32:11,3887,4079,3835,4047,4039,3787,4087,3861,4059,4043,4031,3791,3871,4067,3827,4042,3791,4017,3991,4079,4053,4039,3787,4023,4079,3847,4055,4031,3791,4017,4071,4051,3831,4031,3787,4015
2024-07-25 12:31:06,3886,4087,3831,4045,4030,3775,4085,3858,4063,4043,4031,3783,3975,4075,3831,4039,3793,4019,4071,4075,4047,4031,3787,4017,4079,3857,4047,4031,3790,4015,4081,4014,3827,4031,3787,4015
2024-07-25 20:27:24,3861,4055,3819,4023,4015,3763,4071,3839,4039,4019,4007,3759,3855,4051,3815,4011,3767,3997,3903,4043,4030,4011,3763,3989,4047,3831,4031,4015,3767,3991,4047,3979,3805,4011,3761,3983
